method,K,p1,p2,p3,p4,p5,p6,n_trials,T_max,asc_confidence,delta,epsilon,seed,include_final_wasteful,d_hat,lower_bound,empirical_mean,empirical_sem,n_valid,n_hit_cap,tilde_gap
ASC,4,0.325,0.225,0.225,0.225,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,17.049,6.38676808262239,36.215,3.0540917227960342,1000,0,0.18181818181818177
PPR-1v1,4,0.325,0.225,0.225,0.225,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,77.583,6.923028374531663,23.46,2.2366875443769905,1000,0,0.18181818181818177
ASC,4,0.35657894736842105,0.21447368421052632,0.21447368421052632,0.21447368421052632,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,12.99,4.001362639472325,17.186,1.3687354897279609,1000,0,0.24884792626728114
PPR-1v1,4,0.35657894736842105,0.21447368421052632,0.21447368421052632,0.21447368421052632,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,53.107,4.232472724826071,16.029,1.4063306598822787,1000,0,0.24884792626728114
ASC,4,0.38815789473684215,0.20394736842105263,0.20394736842105263,0.20394736842105263,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,10.837,2.7304908506441725,13.438,0.9248391662789177,1000,0,0.31111111111111117
PPR-1v1,4,0.38815789473684215,0.20394736842105263,0.20394736842105263,0.20394736842105263,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,40.804,2.852174567556225,10.657,0.9604508403957055,1000,0,0.31111111111111117
ASC,4,0.4197368421052632,0.19342105263157894,0.19342105263157894,0.19342105263157894,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,9.471,1.9661462657823658,8.987,0.5698856030824087,1000,0,0.369098712446352
PPR-1v1,4,0.4197368421052632,0.19342105263157894,0.19342105263157894,0.19342105263157894,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,33.981,2.036131781857789,9.508,0.6778860268994085,1000,0,0.369098712446352
ASC,4,0.4513157894736842,0.18289473684210528,0.18289473684210528,0.18289473684210528,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,8.447,1.4727064020034004,6.617,0.4214260444145697,1000,0,0.4232365145228215
PPR-1v1,4,0.4513157894736842,0.18289473684210528,0.18289473684210528,0.18289473684210528,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,28.902,1.5097411649856765,7.727,0.5299351868882668,1000,0,0.4232365145228215
ASC,4,0.48289473684210527,0.1723684210526316,0.1723684210526316,0.1723684210526316,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,7.651,1.126015335947544,5.153,0.26518279150976765,1000,0,0.4738955823293172
PPR-1v1,4,0.48289473684210527,0.1723684210526316,0.1723684210526316,0.1723684210526316,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,25.176,1.149487579225687,5.791,0.3450396663738408,1000,0,0.4738955823293172
ASC,4,0.5144736842105263,0.1618421052631579,0.1618421052631579,0.1618421052631579,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,7.008,0.8763204357361974,4.507,0.2524116928009926,1000,0,0.5214007782101167
PPR-1v1,4,0.5144736842105263,0.1618421052631579,0.1618421052631579,0.1618421052631579,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,22.311,0.89208341947707,5.072,0.31944147955276386,1000,0,0.5214007782101167
ASC,4,0.5460526315789475,0.15131578947368424,0.15131578947368424,0.15131578947368424,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,6.625,0.6930691725447825,4.314,0.21964436630072637,1000,0,0.5660377358490567
PPR-1v1,4,0.5460526315789475,0.15131578947368424,0.15131578947368424,0.15131578947368424,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,20.38,0.7020059905134621,3.938,0.222188036409532,1000,0,0.5660377358490567
ASC,4,0.5776315789473684,0.1407894736842105,0.1407894736842105,0.1407894736842105,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,6.252,0.5525832862198119,3.511,0.172718588202633,1000,0,0.6080586080586081
PPR-1v1,4,0.5776315789473684,0.1407894736842105,0.1407894736842105,0.1407894736842105,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,18.717,0.5579489012151421,3.606,0.19459864499176924,1000,0,0.6080586080586081
ASC,4,0.6092105263157895,0.13026315789473683,0.13026315789473683,0.13026315789473683,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.991,0.44319963867510115,2.937,0.12791948402958167,1000,0,0.6476868327402135
PPR-1v1,4,0.6092105263157895,0.13026315789473683,0.13026315789473683,0.13026315789473683,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,17.31,0.44644321796883,3.376,0.17482902845119627,1000,0,0.6476868327402135
ASC,4,0.6407894736842106,0.11973684210526318,0.11973684210526318,0.11973684210526318,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.792,0.35664386739142784,2.518,0.10148879729298194,1000,0,0.685121107266436
PPR-1v1,4,0.6407894736842106,0.11973684210526318,0.11973684210526318,0.11973684210526318,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,16.287,0.35861689120259177,2.92,0.1505199530170544,1000,0,0.685121107266436
ASC,4,0.6723684210526316,0.10921052631578951,0.10921052631578951,0.10921052631578951,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.59,0.2872320866262658,2.416,0.0965726165653094,1000,0,0.7205387205387204
PPR-1v1,4,0.6723684210526316,0.10921052631578951,0.10921052631578951,0.10921052631578951,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,15.178,0.28842104740070085,2.734,0.14687687638568847,1000,0,0.7205387205387204
ASC,4,0.7039473684210527,0.09868421052631579,0.09868421052631579,0.09868421052631579,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.311,0.23090592990615197,2.144,0.08631752264004519,1000,0,0.7540983606557377
PPR-1v1,4,0.7039473684210527,0.09868421052631579,0.09868421052631579,0.09868421052631579,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,14.196,0.23161315148060038,2.222,0.09687156497187449,1000,0,0.7540983606557377
ASC,4,0.7355263157894737,0.0881578947368421,0.0881578947368421,0.0881578947368421,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,5.181,0.18475885521736551,1.903,0.06780994904281516,1000,0,0.7859424920127795
PPR-1v1,4,0.7355263157894737,0.0881578947368421,0.0881578947368421,0.0881578947368421,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,13.393,0.18514478070596285,1.989,0.08440380917353792,1000,0,0.7859424920127795
ASC,4,0.7671052631578945,0.07763157894736843,0.07763157894736843,0.07763157894736843,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.94,0.1465437427297456,1.85,0.06415306396124518,1000,0,0.8161993769470405
